id;robocza_nazwa;krotki_opis;glowny_mechanizm;kategoria;kompetencje;liczba_osob;optymalna_wielkosc_zespolu;czas;materialy;poziom_przygotowania;potencjal_zainteresowania;konkretnosc_efektu;rzeczywista_wspolpraca;grupa_16;grupa_30;ryzyko_chaosu;zwrot_akcji_mozliwy;przykladowy_zwrot_akcji;odpowiedz_po_co;source_type;zrodlo_inspiracji;url;adaptacja_bs_technikum;ryzyka;status;score
A011;Stabilna platforma 20 cm;Zespoły mają utrzymać butelkę lub książkę minimum 20 cm nad blatem używając tylko papieru.;ograniczenie -> konstrukcja -> test obciążenia;konstruowanie;współpraca|planowanie|test;16-30;4-5;35 min;papier, taśma, butelka lub książka;2;5;5;4;TAK;TAK;3;TAK;po 10 min dodać minimalną wysokość 30 cm;Macie zbudować podest, który naprawdę utrzyma ciężar.;STEM;S005 TeachEngineering;https://www.teachengineering.org/activities/view/ced-2670-newspaper-towers-engineering-design-activity;Bardzo czytelny efekt dla technikum;upadek obciążenia;STRONG CANDIDATE;19
A012;Kontener z papieru;Zespoły projektują opakowanie z jednej kartki, które ochroni gumkę lub jajko z małej wysokości.;prototyp -> test ochrony -> punktacją;projektowanie|konstruowanie;empatia techniczna|testowanie|współpraca;16-30;4-5;45 min;papier, taśma, gumka lub jajko opcjonalnie;2;5;5;4;WARUNKOWO;WARUNKOWO;4;TAK;zmienić kryterium z ochrony na minimalny koszt materiału;Macie zaprojektować opakowanie, które przejdzie test upadku.;STEM;S003 DiscoverE;https://discovere.org/student-activities/times/45-minutes-or-less/;Zamiast jajka można użyć gumki, mniej balaganu;bałagan przy jajku;Kandydat;17
A013;Dźwig z linijki i sznurka;Zespoły budują mechanizm do przeniesienia kubka przez wyznaczoną linię bez dotykania kubka ręką.;misja transportowa -> konstrukcja -> test;konstruowanie|komunikacja;manualność|koordynacja|współpraca;16-30;4-5;35 min;sznurek, gumki, kubek, patyczki;2;5;5;5;TAK;TAK;4;TAK;po próbie dodać zakaz mówienia dla jednej osoby;Macie przenieść ładunek bez dotykania go ręką.;team building;S013 Blind Build;https://www.naboo.app/en-us/blog/blind-build-challenge;Dać klimat zadania technicznego;hałas, chaos;STRONG CANDIDATE;19
A014;Wieża z butów;Zespoły bez materiałów budują najwyższą stabilną wieżę z własnych butów lub plecaków, z zasadami higieny.;zasób lokalny -> konstrukcja -> pomiar;konstruowanie|rywalizacja;kreatywność|współpraca|planowanie;16-30;4-5;15-20 min;brak, tylko dostępne przedmioty;0;4;5;3;TAK;TAK;4;TAK;po 5 min zakaz użycia jednego typu przedmiotu;Macie zbudować najwyższą stabilną konstrukcje z tego, co macie.;team building;S015 Assessment build challenge;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Użyć tylko jesli klasa akceptuje, bez presji zdejmowania butów;higiena, opór;Kandydat;16
A015;Mur odporny na wiatr;Zespoły budują ściankę z papieru, która wytrzyma podmuch z kartki lub wachlowanie.;konstrukcja -> test siły bocznej -> poprawa;konstruowanie;projektowanie|testowanie|wnioskowanie;16-30;4-5;35 min;papier, taśma;2;4;5;4;TAK;TAK;3;TAK;po pierwszym teście podwoić odległość albo siłę wiatru;Macie zbudować mur, który przejdzie test wiatru.;STEM;S005 TeachEngineering;https://www.teachengineering.org/activities/view/ced-2670-newspaper-towers-engineering-design-activity;Dobre jako wariant wieży;spory o test;Kandydat;17
A016;Kieszonkowy budżet miesiąca;Zespoły dostają profil osoby i listę kosztów. Mają ułożyć budżet, który nie schodzi poniżej zera i obronić 3 cięcia.;ograniczony budżet -> wybór -> obrona decyzji;pieniądze|życie codzienne;decyzje|argumentacja|liczenie;16-30;4-5;35-45 min;karta scenariusza, kalkulator opcjonalnie;1;5;4;4;TAK;TAK;2;TAK;po 10 min pojawia się nagły wydatek 400 zł;Macie przeżyć miesiąc finansowo i nie wpaść pod kreskę.;finanse;S009 CFPB activities;https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/teach/activities/;Bardzo blisko życia uczniów;tematy domowych pieniędzy;STRONG CANDIDATE;18
A017;Najlepszy abonament;Zespoły porównują 4 oferty telefonu i wybierają najlepszą dla profilu użytkownika według macierzy punktów.;dane ofert -> macierz decyzji -> wybór;życie codzienne|pieniądze;analiza informacji|decyzje|argumentacja;16-30;4-5;35 min;wydruk ofert lub wyświetlenie;1;4;4;3;TAK;TAK;2;TAK;po 10 min zmienia się profil klienta;Macie wybrać abonament, na którym klient najmniej straci.;finanse;S009 CFPB cell phone plan;https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/teach/activities/;Można użyć fikcyjnych ofert z realnym jezykiem;reklama operatorów;Kandydat;15
A018;Wypłata netto sprint;Zespoły analizują uproszczony pasek wypłaty i muszą znaleźć, ile realnie zostaje oraz gdzie zniknęły pieniądze.;dokument -> odczyt danych -> odpowiedź;pieniądze|życie codzienne;czytanie dokumentów|liczenie|wnioskowanie;16-30;4-5;30-40 min;wydruk paska wypłaty;1;4;4;3;TAK;TAK;2;TAK;dodać drugi pasek z błędem do wykrycia;Macie sprawdzić, ile faktycznie dostaje pracownik i dlaczego.;finanse;S009 CFPB paycheck;https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/teach/activities/;Praktyczne dla uczniów branżowych;może wymagać prostego wytłumaczenia składek;Kandydat;15
A019;Awaria budżetu;Zespoły planują tydzień wydatków, a w trakcie losują awarię: mandat, telefon, dojazd, choroba. Muszą przebudować plan.;plan -> losowa awaria -> korekta;pieniądze|decyzje;adaptacja|priorytety|negocjacje;16-30;4-5;40 min;karty wydatków i awarii;1;5;4;4;TAK;TAK;3;TAK;losowa karta awarii po 12 min;Macie utrzymać budżet mimo problemu, jak w normalnym życiu.;finanse;S009 CFPB spending scenarios;https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/teach/activities/;Silny hook przez rzeczywistość;tematy biedy trzeba neutralizować fikcyjnym profilem;STRONG CANDIDATE;17
A020;Mini firma za 200 zł;Zespoły wymyślają usługę lub produkt za startowe 200 zł, liczą koszt, cenę i zysk, potem bronią pomysłu.;ograniczony kapitał -> model biznesu -> pitch;pieniądze|przedsiębiorczość;liczenie|kreatywność|argumentacja;16-30;4-5;45 min;karta kosztów, kartki;1;5;4;4;TAK;TAK;3;TAK;po 15 min wzrasta koszt materiałów o 30 procent;Macie stworzyć pomysł, który ma szansę zarobić, nie tylko ładnie brzmieć.;finanse;S010 NGPF Arcade;https://www.ngpf.org/arcade/;Dobre dla technikum i BS przez praktyczny kontekst;dominacja jednej osoby;STRONG CANDIDATE;17
A021;Kawiarenka z marżą;Zespoły projektują menu szkolnej kawiarenki, liczą koszty i ustalają ceny, aby osiągnąć zysk bez przesady.;koszty -> ceny -> ranking zysku i sensowności;pieniądze|przedsiębiorczość;liczenie|planowanie|decyzje;16-30;4-5;45 min;karta kosztów;1;4;4;4;TAK;TAK;2;TAK;po 15 min jeden składnik drożeje;Macie ustawić ceny tak, żeby firma przetrwała i klienci kupili.;finanse;S024 NBP Edukacja;https://nbp.pl/edukacja/zasoby-edukacyjne/scenariusze-lekcji/;Dobry most do zawodów usługowych;możliwe żarty z cen;Kandydat;16
A022;Licytacja zasobów;Każdy zespół ma budżet punktów i licytuje karty zasobów potrzebne do wykonania misji. Wygrywa najlepszy wynik, nie największe zakupy.;aukcja -> strategia -> wykonanie;negocjacje|pieniądze;strategia|liczenie|współpraca;16-30;4-5;40 min;karty zasobów, punkty budżetu;2;5;4;4;TAK;TAK;4;TAK;po licytacji pojawia się nowy cel premiowany;Macie kupić sprytnie, bo wszystkiego nie starczy.;gry;S015 Assessment group exercises;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Wymaga mocnego trzymania czasu;hałas przy licytacji;Kandydat;15
A023;Rynek wymiany;Zespoły dostają różne zasoby i cele. Mogą handlować przez 8 minut, potem budują lub składają wynik.;asymetria zasobów -> handel -> wynik;negocjacje|gry;komunikacja|strategia|współpraca;16-30;4-5;35-45 min;karty zasobów i celów;2;5;4;5;TAK;TAK;4;TAK;po handlu zmienia się kurs jednego zasobu;Macie zdobyć brakujące zasoby, inaczej nie ukończycie misji.;team building;S016 Conflict simulations;https://teach.conflictresolution.gmu.edu/category/teaching-resources/case-studies-simulations/;Silne, ale wymaga jasnych zasad transakcji;chaos i przekrzykiwanie;STRONG CANDIDATE;17
A024;Oszczędnościowy zestaw ratunkowy;Zespoły wybierają z listy wydatków i decyzji plan awaryjny dla młodego pracownika po utracie części dochodu.;scenariusz -> priorytety -> plan;pieniądze|życie codzienne;decyzje|argumentacja|planowanie;16-30;4-5;35 min;karta scenariusza;1;4;4;3;TAK;TAK;2;TAK;po 10 min dochodzi naprawa telefonu;Macie ustalić, co robić, żeby nie wejść w dług.;finanse;S009 CFPB savings first aid;https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/teach/activities/;Fikcyjny profil chroni prywatność;tematy pieniędzy;Kandydat;15
A025;Detektor oszustwa;Zespoły analizują 6 wiadomości i stron, wskazują trzy najbardziej ryzykowne oraz dowody ostrzegawcze.;materiały -> analiza -> werdykt;informacja i fake news|życie codzienne;krytyczne myślenie|argumentacja|cyberbezpieczeństwo;16-30;4-5;35 min;wydruk screenów lub opisy;1;5;4;4;TAK;TAK;2;TAK;po 10 min pojawia się dodatkowa wiadomość od znajomego;Macie wykryć, która oferta może was okraść.;finanse;S009 CFPB identity protection;https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/teach/activities/;Bardzo praktyczne dla nastolatków;nie używać prawdziwych danych uczniów;STRONG CANDIDATE;18
A026;Subskrypcje zjadają wypłatę;Zespoły dostają listę małych opłat i mają znaleźć największe przecieki w budżecie oraz plan cięcia.;dane -> diagnoza -> plan cięcia;pieniądze|życie codzienne;analiza|priorytety|liczenie;16-30;4-5;30 min;karta opłat;1;4;4;3;TAK;TAK;2;TAK;po 8 min dodać nową obowiązkowa opłatę;Macie znaleźć, gdzie uciekają pieniądze.;finanse;S009 CFPB spending scenarios;https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/teach/activities/;Dobre na krótkie zastępstwo;może być za spokojne;Kandydat;15
A027;Zakup telefonu używanego;Zespoły wybierają telefon z ofert, oceniają ryzyko oszustwa i tworzą checklistę zakupu.;oferty -> analiza ryzyka -> decyzja;życie codzienne|informacja;ocena informacji|decyzje|argumentacja;16-30;4-5;35 min;fikcyjne ogłoszenia;1;5;4;3;TAK;TAK;2;TAK;po 10 min jedną oferta dostaje nową informacje o blokadzie;Macie kupić sprzęt i nie dać się naciągnąć.;finanse;S009 CFPB;https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/teach/activities/;Blisko realnych wyborów uczniów;używać fikcyjnych ofert;STRONG CANDIDATE;16
A028;Trasa dostawy;Zespoły planują najkrótszą trasę dostarczenia paczek przy limicie czasu i paliwa. Wynik to koszt i liczba dostaw.;mapa -> optymalizacja -> wynik;planowanie|logistyka;logika|współpraca|decyzje;16-30;4-5;35-45 min;prosta mapa, karty dostaw;1;5;4;4;TAK;TAK;3;TAK;po 12 min zamknąć jedną drogę;Macie dowieźć jak najwięcej paczek najtaniej.;assessment;S015 Assessment case study;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Dobre dla klas logistycznych, transportowych;spory o zasady mapy;STRONG CANDIDATE;17
A029;Ewakuacja po zmianie planu;Zespoły tworzą plan ewakuacji fikcyjnego obiektu z ograniczeniami, potem nauczyciel zamyka jedną drogę.;plan -> awaria -> aktualizacja;planowanie|problemy społeczne;decyzje|adaptacja|komunikacja;16-30;4-5;40 min;schemat budynku;1;5;4;4;TAK;TAK;3;TAK;jedna droga zostaje zamknięta;Macie ułożyć plan, który zadziała nawet po awarii.;assessment;S015 Assessment case study;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Trzymać temat fikcyjny i techniczny;nie wywoływać paniki realną szkołą;STRONG CANDIDATE;17
A030;Awaria w warsztacie;Zespoły dostają opis zakładu, 5 awarii i ograniczony zespół pracowników. Muszą ustalić kolejność napraw.;case -> priorytety -> harmonogram;planowanie|życie zawodowe;decyzje|argumentacja|współpraca;16-30;4-5;35 min;karta scenariusza;1;5;4;4;TAK;TAK;2;TAK;po 10 min dochodzi pilne zamówienie;Macie ustawić naprawy tak, by firma nie stanęła.;assessment;S015 Assessment centre;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Bardzo dobre dla BS i technikum;wymaga jasnego profilu zawodowego;STRONG CANDIDATE;18
A031;Misja księżycowa 15 rzeczy;Uczniowie najpierw indywidualnie, potem zespołowo rankingują rzeczy potrzebne do przeżycia. Wynik porównuje się z modelem eksperckim lub logiką scenariusza.;ranking indywidualny -> konsensus -> porównanie;decyzje|survival;argumentacja|negocjacje|współpraca;16-30;4-5;35-45 min;lista 15 przedmiotów;1;4;4;4;TAK;TAK;2;TAK;po konsensusie zmienia się dystans do bazy;Macie wybrać rzeczy, od których zależy przeżycie misji.;survival;S006 NASA Exercise;https://www.psychologicalscience.org/observer/nasa-exercise;Zmienić realia na fikcyjne, nie kopiować listy dosłownie;dominacja głośnych osób;Kandydat;16
A032;Baza odcięta od świata;Zespoły wybierają 4 osoby z 12 kandydatów do bazy kryzysowej, potem dostają awarię sprawdzającą wybór.;ograniczony skład -> selekcja -> test scenariuszem;decyzje|survival;argumentacja|analiza ryzyka|negocjacje;16-30;4-5;45 min;karty kandydatów;2;5;4;4;TAK;TAK;3;TAK;po wyborze awaria wymaga konkretnej umiejętności;Macie złożyć ekipę, która poradzi sobie z awarią.;survival;S006 NASA Exercise;https://www.psychologicalscience.org/observer/nasa-exercise;Kandydaci fikcyjni, bez cech wrażliwych;stereotypy przy rolach;STRONG CANDIDATE;17
A033;Pustynny konwój;Zespoły wybierają trasę i zapasy dla konwoju po awarii pojazdu. Wygrywa plan z najlepszym bilansem ryzyka i zasobów.;zasoby -> trasa -> ryzyko -> decyzja;survival|planowanie;analiza|negocjacje|decyzje;16-30;4-5;40 min;mapa i lista zasobów;1;4;4;4;TAK;TAK;2;TAK;po 12 min odpada jeden pojazd;Macie doprowadzić konwój do celu przy ograniczonych zasobach.;survival;S006 NASA Exercise;https://www.psychologicalscience.org/observer/nasa-exercise;Dobry wariant bez kosmosu;może być zbyt abstrakcyjny;Kandydat;16
A034;Wyspa po sztormie;Zespoły wybierają 8 z 20 przedmiotów i planują pierwsze 24 godziny. Potem tracą jeden zasób.;ranking -> plan -> korekta;survival|decyzje;priorytety|argumentacja|planowanie;16-30;4-5;40 min;lista przedmiotów;1;4;4;4;TAK;TAK;2;TAK;sztorm niszczy jeden wybrany zasób;Macie wybrać rzeczy i plan, który utrzyma was przy życiu.;survival;S006 NASA Exercise;https://www.psychologicalscience.org/observer/nasa-exercise;Przedstawic jako gra decyzyjna, nie wakacyjna zabawa;dominacja;Kandydat;16
A035;Szpital polowy;Zespoły przydzielają ograniczone zasoby do 6 pacjentów z fikcyjnymi przypadkami technicznymi, nie medycznymi. Chodzi o priorytety.;ograniczone zasoby -> priorytety -> uzasadnienie;decyzje|problemy społeczne;etyka praktyczna|argumentacja|współpraca;16-30;4-5;40 min;karty przypadków;2;4;4;4;TAK;TAK;3;TAK;po 10 min dostępny zasób spada o połowę;Macie podjąć trudną decyzję, bo nie starczy dla wszystkich.;symulacje;S025 Facing History;https://www.facinghistory.org/resource-library/teaching-strategies;Utrzymać fikcyjne, bez osobistych historii;temat może być wrażliwy;Kandydat;15
A036;Zaginiony prototyp;Zespoły dostają zestaw poszlak i muszą ustalić, kto wyniósł prototyp z pracowni oraz jaką była sekwencja zdarzeń.;clue set -> dedukcja -> werdykt;zagadki|dedukcja;logika|czytanie ze zrozumieniem|współpraca;16-30;4-5;35-45 min;karty poszlak;1;5;4;4;TAK;TAK;2;TAK;po 15 min pojawia się nowy świadek;Macie znaleźć sprawcę przed innymi zespołami.;mystery;S020 Edutopia Logic Puzzles;https://www.edutopia.org/article/4-ways-use-math-logic-puzzles-students/;Unikać makabry, dać temat pracowni;nadmierne wczuwanie;STRONG CANDIDATE;18
A037;Timeline śledztwa;Każdy uczeń ma jedną wskazówkę. Zespół musi ułożyć chronologię zdarzeń bez pokazywania kartek.;rozdzielone informacje -> komunikacja -> sekwencja;dedukcja|information gap;komunikacja|logika|współpraca;16-30;4-5;30-40 min;karty wskazówek;1;5;4;5;TAK;TAK;3;TAK;jedną wskazówka okazuje się myląca;Macie ułożyć wydarzenia, ale nikt nie ma całej historii.;information gap;S011 Information Gap;https://americanenglish.state.gov/resources/teachers-corner-speaking-information-gap-activities;Świetne, bo każdy ma część rozwiązania;frustracja słabszych czytelników;STRONG CANDIDATE;19
A038;Kod do sejfu;Zespoły rozwiązują 4 krótkie zagadki, a każda daje cyfrę kodu. Wygrywa zespół z poprawnym kodem i karta dowodów.;seria zagadek -> kod -> weryfikacja;escape room|logika;dedukcja|współpraca|uwaga;16-30;4-5;35 min;karty zagadek;1;5;4;4;TAK;TAK;3;TAK;jedna zagadka ma dodatkową podpowiedź za karę punktowa;Macie złamać kod szybciej niż inne zespoły.;escape room;S007 Inspired Teaching Escape Rooms;https://inspiredteaching.org/escape-rooms/;Bez kłódek, tylko kod na kartce;zbyt trudne zagadki;STRONG CANDIDATE;18
A039;No-lock escape route;Zespoły wykonują 4 misje papierowe, zbierają symbole i składają finalne hasło ucieczki.;stacje -> symbole -> hasło;escape room|gry;współpraca|logika|czas;16-30;4-5;40-45 min;wydruk 1-2 stron na zespół;1;5;4;4;TAK;TAK;3;TAK;po 20 min skrócić czas i dać możliwość kupna podpowiedzi;Macie wydostać się z pokoju, składając hasło z zadań.;escape room;S008 No Locks Escape Rooms;https://teachersareterrific.com/2023/05/no-prep-no-locks-escape-room.html;Wersja neutralna tematycznie, bez dziecinnej fabuły;chaos przy podpowiedziach;STRONG CANDIDATE;18
A040;Szyfr kuriera;Zespoły łamią prosty szyfr podstawieniowy, przestawieniowy i kod QR opisany tekstowo, by odczytać instrukcję misji.;szyfr -> dekodowanie -> instrukcja;logika|escape room;wzorce|współpraca|wytrwałość;16-30;4-5;30-40 min;karty z szyframi;1;5;4;3;TAK;TAK;3;TAK;jedną litera szyfru jest uszkodzona;Macie odczytać wiadomość, która prowadzi do celu.;escape room;S007 Inspired Teaching;https://inspiredteaching.org/escape-rooms/;Dobrać łatwość do klasy, bez wiedzy matematycznej;frustracja;Kandydat;16
A041;Mapa z brakami;Każdy członek zespołu ma inny fragment mapy lub ograniczeń. Razem muszą wyznaczyc trasę i punkt docelowy.;rozdzielone dane -> integracja -> decyzja;information gap|planowanie;komunikacja|analiza|współpraca;16-30;4-5;30-40 min;karty fragmentow mapy;1;5;4;5;TAK;TAK;3;TAK;po 10 min jedna droga zamknięta;Macie znaleźć trasę, ale nikt nie widzi całej mapy.;information gap;S011 American English;https://americanenglish.state.gov/resources/teachers-corner-speaking-information-gap-activities;Bardzo dobre na współpracę rzeczywista;spory przy mapie;STRONG CANDIDATE;19
A042;Kto ma alibi;Zespoły analizują alibi, bilety, godziny i sprzeczności, aby wskazać osobę, która kłamie.;dane -> eliminacja -> werdykt;dedukcja|zagadki;logika|argumentacja|uwaga;16-30;4-5;35 min;karty alibi;1;5;4;4;TAK;TAK;2;TAK;po 12 min dochodzi monitoring z błędem czasu;Macie wykryć kłamstwo w danych.;mystery;S020 Edutopia Logic Puzzles;https://www.edutopia.org/article/4-ways-use-math-logic-puzzles-students/;Temat neutralny, np. zaginiony klucz;oskarzanie bez zasad;STRONG CANDIDATE;18
A043;Logiczna siatka z presją czasu;Zespoły rozwiązują grid logiczny o zawodach, narzędziach i zamówieniach. Wynik to kompletna tabela.;ograniczenia -> eliminacja -> tabela;logika|dedukcja;wnioskowanie|współpraca|dokładność;16-30;4-5;30-40 min;wydruk gridu;1;4;4;3;TAK;TAK;2;TAK;po 15 min można kupić podpowiedź za punkty;Macie wypełnić tabelę bez zgadywania.;logika;S020 Edutopia Logic Puzzles;https://www.edutopia.org/article/4-ways-use-math-logic-puzzles-students/;Dobrać poziom, unikać zbyt szkolnej matematyki;jedną osoba może przejąć;Kandydat;15
A044;Zagadka bocznego myślenia jako śledztwo;Nauczyciel czyta dziwną sytuację. Zespoły zadają pytania tak/nie i konkurują o najkrótszą drogę do wyjaśnienia.;hipotezy -> pytania -> rozwiązanie;logika|kreatywność;wnioskowanie|formułowanie pytań|współpraca;16-30;4-5;20-30 min;lista zagadek;0;4;3;3;TAK;TAK;2;TAK;po 5 pytaniach wprowadzić limit pytań dla zespołu;Macie wyjaśnić absurdalną sytuację jak detektywi.;lateral thinking;S020 Edutopia Logic;https://www.edutopia.org/article/4-ways-use-math-logic-puzzles-students/;Wybierać zagadki bez makabry i infantylności;może stać się zgadywanką;Kandydat;13
