id;aktywnosc;obecny_status;fala;rodzina;tryb_naprawy;pakiet_do_przygotowania;blokada_z_audytu;najblizsza_akcja
A033;Pustynny konwój;PAKIET;FALA 2 - opracować po pierwszej paczce;planowanie, procesy i logistyka;opracować pakiet;mapa/proces/scenariusz + ograniczenia + kryteria priorytetu + rozwiązanie przykładowe;Brakuje mapy, zapasów, kosztów ryzyka i kryterium wygranej.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A034;Wyspa po sztormie;PAKIET;FALA 2 - opracować po pierwszej paczce;alokacja zasobów i priorytety;opracować pakiet;lista zasobów/kandydatów + zdarzenie kryzysowe + model punktacji;Brakuje listy 20 przedmiotów i scenariusza utraty zasobu.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A035;Szpital polowy;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;alokacja zasobów i priorytety;opracować pakiet;lista zasobów/kandydatów + zdarzenie kryzysowe + model punktacji;Brakuje przypadków, zasobów i bezpiecznego niemedycznego języka.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A036;Zaginiony prototyp;PAKIET;FALA 1 - najpierw opracować do pełnych kart;dedukcja, śledztwa i escape room;opracować pakiet;karty poszlak/zagadek + klucz odpowiedzi + wariant podpowiedzi;Brakuje zestawu poszlak, rozwiązania i sekwencji zdarzeń.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A037;Timeline śledztwa;PAKIET;FALA 1 - najpierw opracować do pełnych kart;dedukcja, śledztwa i escape room;opracować pakiet;karty poszlak/zagadek + klucz odpowiedzi + wariant podpowiedzi;Brakuje kart wskazówek i poprawnej chronologii.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A038;Kod do sejfu;PAKIET;FALA 1 - najpierw opracować do pełnych kart;dedukcja, śledztwa i escape room;opracować pakiet;karty poszlak/zagadek + klucz odpowiedzi + wariant podpowiedzi;Brakuje 4 zagadek, kodu i klucza dowodów.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A039;No-lock escape route;PAKIET;FALA 2 - opracować po pierwszej paczce;dedukcja, śledztwa i escape room;opracować pakiet;karty poszlak/zagadek + klucz odpowiedzi + wariant podpowiedzi;Brakuje kompletnego wydruku misji, symboli i hasła.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A040;Szyfr kuriera;PAKIET;FALA 2 - opracować po pierwszej paczce;dedukcja, śledztwa i escape room;opracować pakiet;karty poszlak/zagadek + klucz odpowiedzi + wariant podpowiedzi;Brakuje szyfrów, wiadomości i klucza.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A041;Mapa z brakami;PAKIET;FALA 1 - najpierw opracować do pełnych kart;planowanie, procesy i logistyka;opracować pakiet;mapa/proces/scenariusz + ograniczenia + kryteria priorytetu + rozwiązanie przykładowe;Brakuje mapy, ograniczeń i rozwiązania wzorcowego.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A042;Kto ma alibi;PAKIET;FALA 1 - najpierw opracować do pełnych kart;dedukcja, śledztwa i escape room;opracować pakiet;karty poszlak/zagadek + klucz odpowiedzi + wariant podpowiedzi;Brakuje kart alibi, biletów, osi czasu i rozwiązania.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A043;Logiczna siatka z presją czasu;PAKIET;FALA 2 - opracować po pierwszej paczce;dedukcja, śledztwa i escape room;opracować pakiet;karty poszlak/zagadek + klucz odpowiedzi + wariant podpowiedzi;Brakuje gotowego gridu logicznego i rozwiązania.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A044;Zagadka bocznego myślenia jako śledztwo;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;dedukcja, śledztwa i escape room;opracować pakiet;karty poszlak/zagadek + klucz odpowiedzi + wariant podpowiedzi;Brakuje listy konkretnych zagadek bez ryzykownych treści.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A045;Cztery dowody jeden fałszywy;PAKIET;FALA 2 - opracować po pierwszej paczce;dedukcja, śledztwa i escape room;opracować pakiet;karty poszlak/zagadek + klucz odpowiedzi + wariant podpowiedzi;Brakuje pakietu dowodów i fałszywego elementu.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A046;Fake news triage;PAKIET;FALA 1 - najpierw opracować do pełnych kart;informacja, argumentacja i komunikaty;opracować pakiet;neutralne materiały wejściowe + kryteria oceny + przykład dobrej odpowiedzi;Brakuje 5 neutralnych postów i kryteriów wiarygodności.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A047;Aukcja wiarygodności źródeł;PAKIET;FALA 2 - opracować po pierwszej paczce;informacja, argumentacja i komunikaty;opracować pakiet;neutralne materiały wejściowe + kryteria oceny + przykład dobrej odpowiedzi;Brakuje kart źródeł, cennika i zadania badawczego.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A048;Nagłówek kontra treść;PAKIET;FALA 2 - opracować po pierwszej paczce;informacja, argumentacja i komunikaty;opracować pakiet;neutralne materiały wejściowe + kryteria oceny + przykład dobrej odpowiedzi;Brakuje nagłówków, leadów, treści i klucza dopasowania.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A049;Zdjęcie bez kontekstu;PAKIET;FALA 2 - opracować po pierwszej paczce;informacja, argumentacja i komunikaty;opracować pakiet;neutralne materiały wejściowe + kryteria oceny + przykład dobrej odpowiedzi;Brakuje zdjęcia, 4 opisów i szerszego kadru.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A050;Sąd nad argumentem;PAKIET;FALA 1 - najpierw opracować do pełnych kart;informacja, argumentacja i komunikaty;opracować pakiet;neutralne materiały wejściowe + kryteria oceny + przykład dobrej odpowiedzi;Brakuje tezy, kart dowodów i kontrdowodu.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A051;Drzewo decyzji: zamknąć czy naprawić;PAKIET;FALA 2 - opracować po pierwszej paczce;planowanie, procesy i logistyka;opracować pakiet;mapa/proces/scenariusz + ograniczenia + kryteria priorytetu + rozwiązanie przykładowe;Brakuje konkretnego scenariusza awarii, kosztów i kryteriów decyzji.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A052;SWOT kontra czas;SZKIELET;FALA S1 - przepisać szkielet na konkretny case;projektowanie i twórcze rozwiązywanie problemów;przepisać szkielet;najpierw karta konkretnego case’u + dopiero potem materiały uczniowskie;Nie wiadomo, jaki pomysł, jaka usługa, co znaczy SWOT dla ucznia i jaki problem ma przetrwać.;"Ustalić konkretny temat/case, napisać problem startowy i dopiero potem przygotować materiały; jeśli nie da się tego zrobić w 45 minut, odrzucić albo połączyć z inną aktywnością."
A053;Red team zabezpieczeń;SZKIELET;FALA S1 - przepisać szkielet na konkretny case;planowanie, procesy i logistyka;przepisać szkielet;najpierw karta konkretnego case’u + dopiero potem materiały uczniowskie;"Brakuje wydarzenia, listy ryzyk i konkretnego ataku red team; bez tego uczniowie projektują w próżni.";"Ustalić konkretny temat/case, napisać problem startowy i dopiero potem przygotować materiały; jeśli nie da się tego zrobić w 45 minut, odrzucić albo połączyć z inną aktywnością."
A054;Projekt ławki przyszłości;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;projektowanie i twórcze rozwiązywanie problemów;opracować pakiet;konkretny brief użytkownika + ograniczenia + test rozwiązania + rubryka oceny;Brakuje profilu ucznia/użytkownika, ograniczeń kosztowych i kryterium testu.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A055;Crazy 8s produkt do plecaka;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;projektowanie i twórcze rozwiązywanie problemów;opracować pakiet;konkretny brief użytkownika + ograniczenia + test rozwiązania + rubryka oceny;Ma prosty start, ale brakuje profilu klienta i kryteriów wyboru po Crazy 8s.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A056;Prototyp z odpadów;SZKIELET;FALA S1 - przepisać szkielet na konkretny case;projektowanie i twórcze rozwiązywanie problemów;przepisać szkielet;najpierw karta konkretnego case’u + dopiero potem materiały uczniowskie;"Brakuje zadanego problemu i testu funkcji; samo „rozwiązuje problem” jest puste.";"Ustalić konkretny temat/case, napisać problem startowy i dopiero potem przygotować materiały; jeśli nie da się tego zrobić w 45 minut, odrzucić albo połączyć z inną aktywnością."
A057;Reklama produktu bezużytecznego;PAKIET;FALA 2 - opracować po pierwszej paczce;finanse i decyzje codzienne;opracować pakiet;profil osoby/klienta + cennik/oferty + karta obliczeń + klucz;Brakuje kart produktów i profili klientów.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A058;Klient zmienia zdanie;PAKIET;FALA 2 - opracować po pierwszej paczce;projektowanie i twórcze rozwiązywanie problemów;opracować pakiet;konkretny brief użytkownika + ograniczenia + test rozwiązania + rubryka oceny;Brakuje kart briefu, wymagań klienta i przykładowych zmian.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A059;Mapa drogi klienta;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;projektowanie i twórcze rozwiązywanie problemów;opracować pakiet;konkretny brief użytkownika + ograniczenia + test rozwiązania + rubryka oceny;Brakuje 8 kroków usługi i konkretnego przypadku klienta.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A060;Najgorszy pomysł, potem naprawa;SZKIELET;FALA S1 - przepisać szkielet na konkretny case;projektowanie i twórcze rozwiązywanie problemów;przepisać szkielet;najpierw karta konkretnego case’u + dopiero potem materiały uczniowskie;"Brakuje problemu bazowego; bez niego to metoda kreatywna, nie aktywność.";"Ustalić konkretny temat/case, napisać problem startowy i dopiero potem przygotować materiały; jeśli nie da się tego zrobić w 45 minut, odrzucić albo połączyć z inną aktywnością."
A061;Kontrakt dostawcy;PAKIET;FALA 1 - najpierw opracować do pełnych kart;negocjacje, role i gry decyzyjne;opracować pakiet;karty ról/interesów + zasady wymiany + punktacja + wzór wyniku;Brakuje kart ról, interesów, punktacji i wzoru umowy.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A062;Podział warsztatu;PAKIET;FALA 1 - najpierw opracować do pełnych kart;planowanie, procesy i logistyka;opracować pakiet;mapa/proces/scenariusz + ograniczenia + kryteria priorytetu + rozwiązanie przykładowe;Brakuje kart potrzeb ekip, kalendarza i ograniczeń sprzętu.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A063;Budżet wycieczki kontra rzeczywistość;PAKIET;FALA 2 - opracować po pierwszej paczce;finanse i decyzje codzienne;opracować pakiet;profil osoby/klienta + cennik/oferty + karta obliczeń + klucz;Brakuje karty kosztów, celu wyjazdu i ograniczeń budżetu.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A064;Umowa wspólnego lokalu;PAKIET;FALA 2 - opracować po pierwszej paczce;negocjacje, role i gry decyzyjne;opracować pakiet;karty ról/interesów + zasady wymiany + punktacja + wzór wyniku;Brakuje kart ról, kosztów, zasad lokalu i punktacji.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A065;Dealerzy informacji;PAKIET;FALA 2 - opracować po pierwszej paczce;negocjacje, role i gry decyzyjne;opracować pakiet;karty ról/interesów + zasady wymiany + punktacja + wzór wyniku;Brakuje kart informacji i mechaniki handlu/wyboru inwestycji.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A066;Dylemat wspólnej punktacji;PAKIET;FALA 2 - opracować po pierwszej paczce;negocjacje, role i gry decyzyjne;opracować pakiet;karty ról/interesów + zasady wymiany + punktacja + wzór wyniku;"Brakuje tabeli wypłat i rund; bez tego gra nie istnieje.";Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A067;Negocjacje ostatniego zasobu;PAKIET;FALA 2 - opracować po pierwszej paczce;negocjacje, role i gry decyzyjne;opracować pakiet;karty ról/interesów + zasady wymiany + punktacja + wzór wyniku;Brakuje kart misji, zasobu i zasad decyzji komisji.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A068;Konsensus bez głosowania;PAKIET;FALA 2 - opracować po pierwszej paczce;negocjacje, role i gry decyzyjne;opracować pakiet;karty ról/interesów + zasady wymiany + punktacja + wzór wyniku;Brakuje 5 opcji i konkretnego scenariusza wyboru.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A071;Radiooperator;PAKIET;FALA 1 - najpierw opracować do pełnych kart;planowanie, procesy i logistyka;opracować pakiet;mapa/proces/scenariusz + ograniczenia + kryteria priorytetu + rozwiązanie przykładowe;Brakuje kart mapy, listy celów i gotowej trasy kontrolnej.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A072;Split blueprint;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;role, information gap i współpraca strukturalna;opracować pakiet;podzielone informacje/role + wspólny cel + klucz poprawności;Brakuje podzielonej instrukcji budowy i modelu wzorcowego.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A073;Kontrola jakości;PAKIET;FALA 1 - najpierw opracować do pełnych kart;kontrola jakości i kryteria;opracować pakiet;karty produktów/próbek + lista wad + progi akceptacji + klucz decyzji;Brakuje kart produktów, listy wad i progów akceptacji.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A075;Operatorzy awarii;PAKIET;FALA 2 - opracować po pierwszej paczce;role, information gap i współpraca strukturalna;opracować pakiet;podzielone informacje/role + wspólny cel + klucz poprawności;Brakuje kart ról, zasobów i konkretnej awarii.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A076;Sprint kanban;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;planowanie, procesy i logistyka;opracować pakiet;mapa/proces/scenariusz + ograniczenia + kryteria priorytetu + rozwiązanie przykładowe;Brakuje 12 zadań, zależności i ograniczeń zespołu.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A077;Planowanie pokerem;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;planowanie, procesy i logistyka;opracować pakiet;mapa/proces/scenariusz + ograniczenia + kryteria priorytetu + rozwiązanie przykładowe;Brakuje listy zadań i skali szacowania.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A078;Misja: naprawić szkolny automat;PAKIET;FALA 2 - opracować po pierwszej paczce;projektowanie i twórcze rozwiązywanie problemów;opracować pakiet;konkretny brief użytkownika + ograniczenia + test rozwiązania + rubryka oceny;Brakuje kart skarg i danych o automacie.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A079;Naprawa procesu zamówień;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;planowanie, procesy i logistyka;opracować pakiet;mapa/proces/scenariusz + ograniczenia + kryteria priorytetu + rozwiązanie przykładowe;Brakuje kroków procesu i scenariusza zamówienia.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A081;Puzzle produkcyjne;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;planowanie, procesy i logistyka;opracować pakiet;mapa/proces/scenariusz + ograniczenia + kryteria priorytetu + rozwiązanie przykładowe;Brakuje kart kroków procesu i poprawnej kolejności.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A082;Cichy ranking;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;role, information gap i współpraca strukturalna;opracować pakiet;podzielone informacje/role + wspólny cel + klucz poprawności;Brakuje listy 10 rzeczy i scenariusza rankingowego.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A084;Jigsaw ekspertów;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;role, information gap i współpraca strukturalna;opracować pakiet;podzielone informacje/role + wspólny cel + klucz poprawności;Brakuje materiału eksperckiego i zadania końcowego.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A085;Numbered heads rescue;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;role, information gap i współpraca strukturalna;opracować pakiet;podzielone informacje/role + wspólny cel + klucz poprawności;Brakuje konkretnej misji i karty zadania.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A086;Graffiti rozwiązań;SZKIELET;FALA S2 - decyzja: przepisać albo odrzucić;projektowanie i twórcze rozwiązywanie problemów;przepisać szkielet;najpierw karta konkretnego case’u + dopiero potem materiały uczniowskie;"Brakuje stacji z problemami; sama technika graffiti nie jest lekcją.";"Ustalić konkretny temat/case, napisać problem startowy i dopiero potem przygotować materiały; jeśli nie da się tego zrobić w 45 minut, odrzucić albo połączyć z inną aktywnością."
